INPUT,English
LBL_API_TITLE_9,TM
LBL_API_TITLE_10,mobile app
LBL_INSPECTION,Inspection
LBL_INSPECTION_SUB_TITLE,"Raw materials, product quality & compliance at any stage"
LBL_AUDIT,Audit
LBL_AUDIT_SUB_TITLE,"Technical, Social & Environmental"
LBL_LAB,Lab Testing
LBL_LAB_SUB_TITLE,"Compliance, Fit-for-Use & Performance"
LBL_TCF,I -TCF
LBL_TCF_SUB_TITLE,Intergrity & Technical compliance of your products
LBL_VIEW,View
LBL_LEARN_MORE,Learn More
TITLE,Staff Register
LBL_PERSOPART,Personal Particulars
LBL_EMPLOYEENO,Employee No
PH_EMPLOYEENO,Please Enter Employee No
LBL_DATEBIRTH,Date of Birth
PH_DATEBIRTH,Please Enter Date of Birth
LBL_COUNTRY,Country
LBL_NAME,Person name
PH_NAME,Please Enter Person Name
LBL_QUALIFICATION,Qualification
LBL_NATIONALITY,Nationality
LBL_LOCALLANGUAGE,Regional language name
PH_LOCALLANGUAGE,Please Enter Regional language name
LBL_GRADUATE,Graduate school
PH_GRADUATE,Please Enter Graduate school
LBL_EMERCONTACT,Emergency contact person
PH_EMERCONTACT,Please Enter Emergency contact person
LBL_GENDER,Gender
LBL_SELECT,Select
LBL_GRADUATEDATE,Graduate date
PH_GRADUATEDATE,Please Enter Graduate date
LBL_EMRPHONE,Emergency contact phone
PH_EMRPHONE,Please Enter Emergency contact phone
LBL_MARTIAL,Marital Status
LBL_PASSPORT,Passport/ ID nbr
PH_PASSPORT,Please Enter PassportNo
LBL_SKYPE,Skype ID
PH_SKYPE,Please Enter Skype ID
LBL_EMAIL,Email address (Personal)
PH_EMAIL,Please Enter Email Address
LBL_CONTACTNBR,Contact Nbr
PH_CONTACTNBR,Please Enter Contact Nbr
LBL_JOINDATE,Join Date
PH_JOINDATE,Please Enter Join Date
TAB_EMPLOYEEINFO,Employee informations
LBL_POSITION,Position
LBL_COMPANYEMAIL,Company Email
PH_COMPANYEMAIL,Please Enter Company Email
LBL_BANKNAME,Bank Name
PH_BANKNAME,Please Enter Bank Name
LBL_REPORTHEAD,Report head
LBL_COMPANYMOBILE,Company mobile
PH_COMPANYMOBILE,Please Enter Company mobile
LBL_BANKACCOUNT,Bank Account
PH_BANKACCOUNT,Please Enter Bank Account
LBL_EMPLOYEETYPE,Employee Type
LBL_ANNUALLEAVE,Annual leave
PH_ANNUALLEAVE,Please Enter Annual leave
LBL_SOCASSCARDNO,Social insurance card No
PH_SOCASSCARDNO,Please Enter Social insurance card No
LBL_OFFICE,Branch office
LBL_PROBEXPDATE,Probation Expired Date
PH_PROEXPDATE,Please Enter probation expired date
LBL_HOUSINGFUNDCARD,Housing fund card No
PH_HOUSINGFUNDCARD,Housing fund card
LBL_QCSTARTPLACE,Qc Start Place
LBL_PROBATIONPERIOD,Probation Period
PH_PROBATIONPERIOD,Please Enter probation period
LBL_PLACEPURCHF,Social Insurance & HF place
LBL_DEPARTMENT,Category
LBL_SUBDEPARTMENT,Departement
LBL_PROFILE,Profile
LBL_OPERATION_COUNTRY,Operational Country
LBL_PAYROLLCURRENCY,Payroll Currency
LBL_ISAUDITOR,Is Auditor
LBL_LABOREXPDATE,Labor contract expired date
LBL_ADDRESS,Address
LBL_HOMEADDRESS,Home address
LBL_ADR_COUNTRY,Country
LBL_ADR_STATE,Province / State
LBL_ADR_CITY,City
LBL_ADR_COUNTY,County
LBL_ADR_ADDRESS,Address
PH_ADR_ADDRESS,Please Enter Address
LBL_CURRENTADDRESS,Current address
LBL_STARTWKDATE,Start working Date
LBL_EXPERIENCE,Experience
PH_STARTWKDATE,Please Enter Start Working Date
LBL_TOTWKYEARS,Total working years
PH_TOTWKYEARS,Working years
LBL_TOTWKYEARSGAR,Working years in Inspection Industry
PH_TOTWKYEARSGAR,Working years in garment
LBL_MARKETSEGMENTS,Market segments
LBL_PRODUCTCATEGORIES, Product categories
LBL_EXPERTISE,Expertise
LBL_REMOVE,Remove
LBL_UPLOAD,Upload
LBL_RENEWSDATE,Renew - Start date
LBL_RENEWEDATE,Renew - Expired date
LBL_ADD,Add
LBL_ISCURRENTADDRESS,Current Address
LBL_COMPANY,Company
LBL_JOB,Job
LBL_SALARY,Salary
LBL_CURRENCY,Currency
LBL_STARTDATE,Start date
LBL_ENDDATE,End date
LBL_TRAINING,Training
LBL_TRAININGTOPIC,Training topic
LBL_TRAINER,Trainer
LBL_COMMENTS,Comments
LBL_ATTACHEMENTS,Attachments
LBL_FILEDESCRIPTION,File description
LBL_FILENAME,File name
LBL_UPLOADBY,Uploaded by
LBL_UPLOADDATE,Uploaded date
LBL_MANAGER,Manager
MSG_EMPLOYEENO_REQ,Employee No is required
MSG_COUNTRY_REQ,Country is required
MSG_PERSONNAME_REQ,Person name is required
MSG_QUALIFICATION_REQ,Qualification is required
MSG_GENDER_REQ,Gender is required
MSG_MARTIAL_STATUS_REQ,Martial status is required
MSG_EMAIL_REQ,Email address is required
MSG_JOINDATE_REQ,Join date is required
MSG_CONTACTPHONE_REQ,Contact Nbr is required
MSG_POSITION_REQ,Position is required
MSG_COMPANYEMAIL_REQ,Company email is required
MSG_REPORTHEAD_REQ,Report head is required
MSG_EMPLOYEETYPE_REQ,Employee type is required
MSG_OFFICE_REQ,Office is required
MSG_DEPARTMENT_REQ,Department is required
MSG_PROFILE_REQ,Profile is required
MSG_OPCOUNTRY_REQ,Operational country is required
MSG_PAYROLL_REQ,Payroll currency is required
MSG_HOMECOUNTRY_REQ,Home country is required
MSG_HOMECITY_REQ,Home City is required
MSG_HOMESTATE_REQ,Home State is required
MSG_HOMEADDR_REQ,Home address is required
MSG_CURRCOUNTRY_REQ,Current country is required
MSG_CURRSTATE_REQ,Current state is required
MSG_CURRCITY_REQ,Current City is required
MSG_CURRCOUNTY_REQ,Current County is required
MSG_CURRADDR_REQ,Current address is required
LBL_ENTITY,Entity
MSG_EMAIL_INVALID,Email address is invalid
MSG_JOINDATE_DATE,Join date has not valid date
MSG_COMPANYEMAIL_EMAIL,company email is not valid
MSG_PROBEXPDAT_DATE,Probation expired date is not a valid date
MSG_GRADUATEDATE_DATE,Graduate date has not valid date
MSG_BIRTHDATE_DATE,Birthday date is not valid date
MSG_SALARY_NUMBER,Salary  is not valid  decimal
LBL_DELETE,Delete
MSG_SAVE_SUCCESS,Staff is successfully saved
MSG_CANNOT_ADDSTAFF,Error : Staff cannot be saved
MSG_CURRENTSTAFF_NOTFOUND,Error : The current staff is not found
MSG_CANNOTMAPREQUEST,Error some data cannot be saved
MSG_UNKNONW_ERROR,Unknow error has occured
MSG_RENEW_STARTDATE_GERAT_ENDDATE,Start Date is great than end date
MSG_RENEW_ENDDATE_LESS_STARTDATE,End Date is less than start date
MSG_RENEW_STARTDATE_DATE,Start Date is not a valid date
MSG_RENEW_ENDDATE_DATE,End Date is not a valid date
MSG_STARTWK_DATE,Start Working date is not valid date
MSG_ENTITY_REQ,Entity is required
MSG_SERVICE_REQ,Service is required
MSG_PRIMARY_REQ,Primary Entity is required
LBL_SAVE,Save
LBL_RETURN,Return
LBL_RESET,Reset
LBL_IS_FORECAST_APPLICABLE,Is ForeCast Applicable
LBL_MAJOR_SUBJECT,Major Subject
LBL_RELATIONSHIP_WITH_EMERGENCY_CONTACT,Relationship with Emergency contact
LBL_BAND,Band
LBL_GLOBAL_GRADING,Global Grading
LBL_SOCIAL_INSURANCE_TYPE,Social Insurance Type
LBL_HUKO_LOCATION,Huko Location
LBL_NOTICE_PERIOD,Notice Period (Days)
MSG_BAND,Band is required
MSG_ENTITY_AND_SERVICE_REQUIRED,Entity & Service is Required
TITLE,Holiday Master
LBL_COUNTRY,Country
LBL_SELECT,Select
LBL_BRANCHOFFICE,Branch office
LBL_YEAR,Years
LBL_SEARCH,Search
LBL_ADD,Add
LBL_COUNTRYNAME,Country name
LBL_OFFICE,Fullbridge Office
LBL_HOLIDAYDESCRIPTION,Holiday Description
LBL_DATES,Dates
LBL_REMOVE,Remove
MSG_SHOWING,Showing
MSG_TO,to
MSG_OF,of
MSG_RECORDS,records
LBL_PREVIOUS,Previous
LBL_NEXT,Next
LBL_CONFIRMDELETION,Confirm deletion
LBL_CONFIRMCANCEL,Cancel
LBL_CONFIRMOK,OK
MSG_COUNTRY_REQ,Country is required
MSG_YEAR_REQ,Year is required
LBL_EDITHOLIDAY,Edit Holiday
LBL_TYPE,Holiday type
LBL_MANUALLY,Manually
LBL_EVERYYEAR,Every year
LBL_EVERYMONTH,Every month
LBL_EVERYWEEK,Every week
LBL_FROMDATE,From
LBL_ENDDATE,To
LBL_SUNDAY,Sunday
LBL_MONDAY,Monday
LBL_TUESDAY,Tuesday
LBL_WEDNESDAY,Wednesday
LBL_THURSDAY,Thursday
LBL_FRIDAY,Friday
LBL_SATURDAY,Saturday
LBL_UPDATE,Update
MSG_NOPOPUP,Date selection
MSG_MUSTSELECTCOUNTRY,You must select  country and year first
LBL_DATE,Date
MSG_DESCRIPTION_REQ,Holiday description is required
MSG_STARTDATE_DATE,Start date is required
MSG_ENDDATE_DATE,End date is required
MSG_STARTDATE_GERAT_ENDDATE,Start date is great than End date
MSG_ENDDATE_LESS_STARTDATE,End date is less than Start date
LBL_UPDATE_CURRENT,Update current date
LBL_UPDATE_ALL,Update all next dates
LBL_REMOVE_CURRENT,Delete current date
LBL_REMOVE_ALL,Delete all next dates
MSG_CANNOTUPDATEPASTDATE,Cannot update date in past
MSG_CANNOTREMOVEPASTDATE,Cannot remove past date
MSG_CALENDARISUPDATED,Calendar is updated
MSG_HOLIDAY_REMOVED,The holiday is removed
LBL_ENDDATEWEEK,Limit date
LBL_STARTDAYTYPE,Start day type
LBL_ENDDAYTYPE,End day type
MSG_LOCATION_REQ,Branch Office is required
TITLE,Country Summary
LBL_SEARCH,Search
LBL_COUNTRY,Country Name
LBL_SELECT,Select
LBL_ADD,New
LBL_AREA,Area
