INPUT,English
LBL_OFFICE_ZIP_CODE,Zip Code
PH_OFFICE_ZIP_CODE,Please enter zip code
LBL_OFFICE_ADDRESS1,Address(English)
PH_OFFICE_ADDRESS1,Please enter address
MSG_OFFICE_ADDRESS1_REQ,Address(English) is required
LBL_OFFICE_ADDRESS2,Address(Regional Language)
PH_OFFICE_ADDRESS2,Please enter address
MSG_OFFICE_ADDRESS2_REQ,Address(Regional Language) is required
LBL_OFFICE_EMAIL,Email
PH_OFFICE_EMAIL,Please enter email
LBL_OFFICE_TYPE,Office Type
MSG_OFFICE_TYPE,Office type is required
LBL_SELECT,Select
LBL_HEAD_OFFICE,Head Office
LBL_COUNTRY,Country
MSG_OFFICE_COUNTRY,Country is required
LBL_CITY,City
LBL_OPERATION_COUNTRIES,Operation Countries
LBL_OFFICE_COMMENT,Comment
PH_OFFICE_COMMENT,Please enter comment
MSG_OFFICE_CITY,City is required
MSG_OFFICE_OPERATION_COUNTRIES,Operation Countries is required
MSG_SAVE_SUCCESS,Office details saved successfully 
MSG_CANNOT_SAVE_OFFICE,Error : Office cannot be saved
MSG_CURRENT_OFFICE_NOTFOUND,Error : The current office is not found
MSG_CANNOTMAPREQUEST,Error: Cannot map request
LBL_SAVE,Save
LBL_RESET,Reset
LBL_ADD,Add
LBL_EDIT,Edit
LBL_RETURN,Return
LBL_SUCCESS,success
LBL_ERROR,Error
MSG_UNKNONW_ERROR,Unknow error has occured
MSG_EMAIL_EMAIL,Email address is invalid
MSG_OFFICE_REQ,Office is required
MSG_CONTACTTYPE_REQ,Contact Type is required
TITLE,Organization Contact summary
LBL_CUSTOMER,Organization
LBL_CONTACTS,Organization Name/Email
LBL_NAME,Name
LBL_JOB,Job
LBL_EMAIL,Email
LBL_PHONE,Phone
LBL_EDIT,Edit
LBL_SEARCH,Search
LBL_DELETE,Delete
LBL_RETURN,Return
LBL_ADDNEW,Add New
LBL_ADDCONTACT,Add Contact
LBL_ADD_MSG,To view contact details search or add contact
LBL_EDITCONTACT,Edit Contact
MSG_CUSTOMER_REQ,Organization is required
LBL_NOITEMS,No items was found
LBL_CONFIRMDELETION,Confirm deletion
MSG_CONFRMDELETE,Are you sure  you want to remove contact 
MSG_SHOWING,Showing
MSG_TO,to
MSG_OF,of
MSG_RECORDS,records
LBL_CONTACT_BRAND,Brand
LBL_CONTACT_DEPARTMENT,Department
LBL_CONTACT_SERVICE,Service
TITLE,Organization Contact Detail
LBL_MAIN,Contact Detail
LBL_CUSTOMER,Organization Name
LBL_CONTACT,Contact Name
LBL_FIRST_NAME,Contact Name
LBL_LAST_NAME,Last Name
LBL_NAME,Name
LBL_JobTitle,Job Title
LBL_EMAIL,Email
LBL_MOBILE,Mobile
LBL_PHONE,Phone
LBL_FAX,Fax
LBL_OTHERS,Others
LBL_OFFICE,Office
LBL_COMMENTS,Comments
LBL_CONTACTYPE,Business Division
LBL_CONTACT_BRAND,Brand
LBL_CONTACT_DEPARTMENT,Department
LBL_CONTACT_SERVICE,Business lines
LBL_PROMOTIONAL EMAIL,Send Promotional Email
LBL_SELECT,Select
LBL_SAVE,Save
MSG_CONTACTNAME_REQ,Contact Name is required
MSG_EMAIL_REQ,Email is required
MSG_PHONE_REQ,Phone is required
MSG_EMAIL_EMAIL,Email address is invalid
MSG_OFFICE_REQ,Office is required
MSG_CONTACTTYPE_REQ,Business Division is required
SAVE_RESULT,Save result
SAVE_OK,Organization Contact is saved succefully!
MSG_CANNOT_ADDCONTACT,Cannot add Organization contact
MSG_CONTACT_NOTFOUND,Organization contact not found
MSG_CUSTOMER_EXISTS,Organization Already Exists
MSG_EMAIL_ID_EXISTS,EmailID Already Exists
MSG_API_ENTITY_REQ,Entity is required
MSG_API_ENTITY_SERVICE_REQ,Entity and Service is required
LBL_ENTITY,Entity
TITLE,Customer Department
LBL_CUSTOMER_TITLE,Customer Details
LBL_CUSTOMER,Customer
LBL_SELECT,Select
LBL_DEPARTMENT,Department Details
LBL_ADD,Add
LBL_NAME,Name
LBL_CODE,Code
LBL_REMOVE,Remove
MSG_CUSTOMER_REQ,Customer is required
MSG_NAME_REQ,Name is required
MSG_CODE_REQ,Code is required
LBL_NOITEMS,No items was found
LBL_CONFIRMDELETION,Confirm deletion
MSG_CONFRMDELETE,Are you sure  you want to remove contact 
LBL_SAVE,Save
LBL_RESET,Reset
LBL_RETURN,Return
MSG_SAVE_SUCCESS,Department is successfully saved
TITLE,Leave request
LBL_MAIN, Leave form
LBL_FROMDATE,Start date
LBL_TODATE,End date
LBL_LEAVETYPE,Leave Type
LBL_LEAVEDAYS,Leave days
LBL_REASON,Reason
LBL_SAVE,Save
MSG_STARTDATE_REQ,Start date is required
MSG_STARTDATE_DATE,Start date is not valid date
MSG_STARTDATE_GERAT_ENDDATE,Start date is great than enddate
MSG_ENDDATE_REQ,End date is required
MSG_ENDDATE_DATE,End date is not valid date
MSG_ENDDATE_LESS_STARTDATE,End date is less than start date
MSG_LEAVETYPEID_REQ,Leave type is required
LEAVEREQUEST_RESULT,Leave request result
MSG_LEAVEREQUEST_NOUTFOUND,Leave request is not found
MSG_LEAVETYPES_NOUTFOUND,Leave types are not found
MSG_SAVE_SUCCESS,Leave request is saved
MSG_CANNOTSAVE_REQ,Leave request is not saved
MSG_LEAVEDAYTYPES_NOUTFOUND,Leave day types are not found
LBL_STARTDAYTYPE,Start day type 
LBL_ENDDAYTYPE,End day type 
MSG_LEAVEDAYS_REQ,Leave days is required
MSG_UNAUTHORIZED,You are not authroized to update this leave
LBL_REJECT,REJECT
LBL_CANCEL,CANCEL
LBL_APPROVE,APPROVE
LBL_RETURN,RETURN
MSG_LEAVE_REQUEST_CANNOT_MADE_OTHER_COMPANY,Leave request cannot be made to the company which you dont belong
TITLE,Leave Summary
LBL_STAFFNAME,Staff Name
LBL_SEARCH,Search
LBL_STATUS,Leave Status
LBL_TYPES,Leave Type
LBL_SELECT,Select
LBL_EXPORT,Export
LBL_POSITION,Position
LBL_APPLICATIONDATE,Application Date
LBL_LEAVETYPE,Leave Type
LBL_STARTDATE,Leave From Date
LBL_ENDDATE,Leave To Date
LBL_DAYS,Days
LBL_STATUSS,Status
LBL_REASON,Reason
LBL_LEAVE,Leave
MSG_LEAVESTATUS_REQ,Leave status is required
LBL_APPRCOMMENT,Approver's Comments
TITLE,Organization Service Configuration
LBL_CUSTOMER_LIST,Organization
LBL_SERVICE_LIST,Service
LBL_SEARCH,Search
LBL_ADDNEW,Add Service
Service,Service
ServiceType,Service Type
ProductCategory,Product Category
CustomerName,Organization Name
SamplingMethod,Sampling Method
LBL_EDIT,Edit
LBL_DELETE,Delete
LBL_ADD,Add Service
MSG_SHOWING,Showing
MSG_TO,to
MSG_OF,of
MSG_RECORDS,records
MSG_CODE_REQ,Code is required
LBL_NOITEMS,No items was found
LBL_CONFIRMDELETION,Confirm deletion
MSG_CONFRMDELETE,Are you sure  you want to remove service 
LBL_SAVE,Save
LBL_RESET,Reset
LBL_RETURN,Return
LBL_ADD_MSG,To view service details search or add service
MSG_SAVE_SUCCESS,Department is successfully saved
TITLE,Service Configuration Register
LBL_ADD,Add Service
LBL_EDIT_SERVICE,Edit Service
Customer,Organization
Service,Business Lines
ServiceType,Service
LBL_SELECT,Select
ProductCategory,Product Category
Details,Service Configuration Details
CustomerName,Csutomer Name
SamplingMethod,Sampling Method for AQL
LBL_LEVEL1,Level
Pick1,Pick1
Pick2,Pick2
Critical,Critical
PickType,Pick Type
MajorTolerance,Major Tolerance
MinorTolerance,Minor Tolerance
LevelPick1,Level Pick1
LevelPick2,Level Pick2
AllowAQLModification,Allow AQL  Modification
DefectClassification,Defect Classification
CheckMeasurementPoints,Check Measurement Points
ReportUnit,Report Unit
LBL_EDIT,Edit
LBL_DELETE,Delete
MSG_SHOWING,Showing
MSG_TO,to
MSG_OF,of
MSG_RECORDS,records
MSG_CUSTOMER_REQ,Code is required
MSG_SERVICE_REQ,Business Lines is required
MSG_SERVICETYPE_REQ,Service is required
MSG_PRODUCTCATEGORY_REQ,Product Category is required
LBL_NOITEMS,No items was found
LBL_CONFIRMDELETION,Confirm deletion
MSG_CONFRMDELETE,Are you sure  you want to remove service 
LBL_SAVE,Save
LBL_RESET,Reset
LBL_CUSTOM_SERVICETYPE,Custom Service Type Name
LBL_RETURN,Return
MSG_SAVE_SUCCESS,Service Configuration has mapped successfully
SAVE_RESULT,Save result
SAVE_OK,Service Configuration is saved succefully!
MSG_CANNOT_ADDCUSTOMERSERVICECONFIG,Cannot Add Service Configuration
MSG_CURRENTBRAND_NOTFOUND,Current Organization Service Not Found
MSG_CUSTOMERBRAND_EXISTS,Organization Service Exists Already
LBL_YES,Yes
LBL_NO,No
TITLE,CS Configuration Summary
LBL_SELECT,Select
LBL_CUSTOMER_LIST,Customer
LBL_CUSTOMERSERVICE,CS Name
LBL_OFFICE,Office
LBL_SERVICE,Service
LBL_PRODUCT_CATEGORY,Product Category
LBL_SEARCH,Search
LBL_ADDNEW,Add New
LBL_CustomerName,Customer Name
LBL_CustomerService,CS Name
LBL_Office,Office
LBL_Service,Service
LBL_ProductCategory,Product Category
Edit,Edit
LBL_EDIT,Edit
LBL_DELETE,Delete
MSG_SHOWING,Showing
MSG_TO,to
MSG_OF,of
MSG_RECORDS,records
LBL_NOITEMS,No items was found
MSG_CUSTOMER_REQ,Customer is required
MSG_CS_REQ,Customer Service is required
LBL_CONFIRMDELETION,Confirm deletion
MSG_CONFRMDELETE,Are you sure  you want to remove the CS access?
LBL_NODATA,No results found based on your search. 
TITLE,CS Configuration Register
LBL_SELECT,Select
LBL_CUSTOMER_LIST,Customer
LBL_CUSTOMERSERVICE,CS Name
LBL_OFFICE,Office
LBL_SERVICE,Service
LBL_PRODUCT_CATEGORY,Product Category
LBL_SUBMIT,SUBMIT
LBL_RETURN,RETURN
MSG_SAVE_RESULT,Save result
MSG_SAVE_OK,CS Configuration is saved successfully!
MSG_CUSTOMER_REQ,Customer is required
MSG_CUSTOMER_SERVICE_REQ,CS name is required
MSG_OFFICE_REQ,Office is required
MSG_UNKNONW_ERROR,Unknow error has occured
LBL_DETAILS,Main details
MSG_NO_DATA,No Data
TITLE,Product Reference Summary
STYLE_TITLE,Customer Styles
LBL_SELECT,Select
LBL_CUSTOMER_LIST,Customer
LBL_PRODUCTCATEGORY,Category
LBL_PRODUCTSUBCATEGORY,Sub Category
LBL_PRODUCTSUBCATEGORY2,Sub Category 2
LBL_PRODUCTID,Product Reference
LBL_FACTORYREFERENCE,Factory Reference
LBL_SEARCH,Search
LBL_ADDNEW,New
LBL_ADDNEW_PRODUCT,Add Product
LBL_ADDNEW_STYLE,Add Style
CustomerName,Customer Name
ProductID,Product Reference
STYLE_CODE,Style Code
ProductDescription,Reference Description
StyleDescription,Style Description
ProductCategory,Category
ProductSubCategory,Sub Category
ProductCategorySub2,Sub Category 2
LBL_EDIT,Edit
LBL_DELETE,Delete
MSG_SHOWING,Showing
LBL_MSCHART,MS chart
MSG_TO,to
MSG_OF,of
MSG_RECORDS,records
LBL_NOITEMS,No items was found
MSG_CUSTOMER_REQ,Customer is required
LBL_PRODUCTDESCRIPTION,Reference Description
LBL_STYLEDESCRIPTION,Style Description
LBL_CONFIRMDELETION,Confirm deletion
MSG_CONFRMDELETE,Are you sure  you want to remove the product 
MSG_CONFRMDELETE_STYLE,Are you sure  you want to remove the style 
MSG_UNKNONW_ERROR,Unknow error has occured
MSG_PRODUCT_MAP_INSP,Product Mapped to Inspection
LBL_IS_NEWPRODUCT,New Reference
LBL_IS_NEWSTYLE,New Style
LBL_EXPORT,Export
LBL_INSPECTION_NO,Inspection#
LBL_INSPECTION_DETAIL,Inspection Details
LBL_SERVICE_DATE,Service Date
LBL_SERVICE_TYPE,Service Type
LBL_STATUS,Status
LBL_MSChart,MS chart
LBL_PRODUCT_DELETE,Product cannot be deleted
TITLE,Customer Product Details
ADD_TITLE,Add Product Reference
ADD_STYLE_TITLE,Add Customer Style
ADD_NEW_TITLE,Add New Product
EDIT_TITLE,Edit Product Reference
EDIT_STYLE_TITLE,Edit Customer Style
PRODUCT_ID,Product Reference
STYLE_ID,Style Code
PRODUCT_DESCRIPTION,Reference Description
STYLE_DESCRIPTION,Style Description
CUSTOMER,Customer
BARCODE,BarCode
PRODUCTCATEGORY,Category
PRODUCTSUBCATEGORY,Sub Category
PRODUCTCATEGORYSUB2,Sub Category 2
REMARKS,Remarks
LBL_FACTORYREFERENCE,Factory Reference
LBL_MAIN,Customer Product
LBL_MAIN_STYLE,Customer Style
LBL_SAVE,Save
LBL_RESET,Reset
LBL_RETURN,Return
SAVE_RESULT,Save result
LBL_MSCHART,sample MS chart
SAVE_OK,Product Reference is saved successfully!
STYLE_SAVE_OK,Customer Style is saved successfully!
MSG_CANNOT_ADDCUSTOMERPRODUCT,Cannot Add Product Reference
MSG_CANNOT_ADDCUSTOMERSTYLE,Cannot Add Customer Style
MSG_SAVE_SUCCESS_FILE_NOT_UPLOAD,Customer Product saved successfully and attachments are not saved
MSG_SAVE_SUCCESS_FILE_NOT_UPLOAD_STYLE,Customer Style saved successfully and attachments are not saved
MSG_PRODUCTID_REQ,Product Reference is required
MSG_STYLE_ID_REQ,Style Code is required
MSG_PRODUCTDESC_REQ,Reference Description is required
MSG_STYLEDESC_REQ,Style Description is required
MSG_CUSTOMER_REQ,Customer is required
MSG_CUSTOMER_PRODUCT_NOT_FOUND,Customer Product Not Found
MSG_CUSTOMER_STYLE_NOT_FOUND,Customer Style Not Found
MSG_CUSTOMER_PRODUCT_EXISTS,Product Reference Already Exists
MSG_CUSTOMER_STYLE_EXISTS,Customer Style Already Exists
PRODUCT_IMAGE,Product Image
MSG_UNKNONW_ERROR,Unknow error has occured
LBL_UPLOAD,Upload
FILEUPLOAD_LIMIT_EXCEEDED,File Limit Exceeded
MSG_PRODUCTCATEGORY_REQ,Category is required
MSG_PRODUCTSUBCATEGORY_REQ,SubCategory is required
MSG_PRODUCTCATEGORYSUB2_REQ,SubCategory 2 is required
LBL_NAME,Name
LBL_DOWNLOAD,Download
LBL_VIEW,View
LBL_DELETE,Delete
LBL_INSERT_FILE,Insert File
LBL_CANCEL_FILE,Cancel
LBL_UPLOAD_FILE,Upload
MSG_UPLOAD_FILE,Upload File
MSG_SELECT_FILE,Please select the file
LBL_SELECT_FILE,Select the files to attach
LBL_BROWSE,browse
LBL_IS_NEWPRODUCT,New Reference
LBL_IS_NEWSTYLE,New Style
LBL_STYLE_CODE,Style Code
LBL_STYLE_DESCRIPTION,Description
LBL_STYLE_MPCODE,MpCode
LBL_STYLE_REQUIRED,Required
LBL_STYLE_Tolerance1Up,Tolerance1Up
LBL_STYLE_Tolerance1Down,Tolerance1Down
LBL_STYLE_Tolerance2Up,Tolerance2Up
LBL_STYLE_Tolerance2Down,Tolerance2Down
LBL_STYLE_SELECT_FILE,Select File
TITLE,Purchase Order Summary
LBL_SELECT,Select
LBL_CUSTOMER_LIST,Customer
LBL_SUPPLIER_LIST,Supplier
LBL_FACTORY_LIST,Factory
LBL_DESTINATIONCOUNTRY,Destination Country
LBL_PONO,PO Number
LBL_ETDFROMDATE,ETD From Date
LBL_ETDTODATE,ETD End Date
LBL_SEARCH,Search
LBL_ADDNEW,Add New
LBL_CUSTOMER_NAME,Customer Name
LBL_PO_NO,PONO
LBL_ETD,ETD
LBL_STATUS,Status
LBL_QA,Inspection Responsible
LBL_QUANTITY,Quantity
LBL_DESTINATION_COUNTRY,Destination Country
LBL_NOITEMS,No items was found
LBL_ACTION,Action
MSG_CUSTOMER_REQ,Customer is required
MSG_PONO_REQ,PO Number is required
MSG_FACTORY_REQ,Factory is required
MSG_SUPPLIER_REQ,Supplier is required
MSG_PRODUCT_REQ,Product is required
MSG_ETD_REQ,ETD is required
MSG_QUANTITY_REQ,Quantity is required
LBL_PRODCUT_DESC,Product Desc
MSG_SHOWING,Showing
MSG_TO,to
MSG_OF,of
MSG_RECORDS,records
LBL_PREVIOUS,Previous
LBL_NEXT,Next
LBL_CONFIRMDELETION,Confirm deletion
MSG_CONFRMDELETE,Are you sure  you want to remove the purchase order 
MSG_UNKNONW_ERROR,Unknow error has occured
MSG_PO_MAPPEDTOBOOKING,is already mapped with booking and you can not delete.
LBL_EXPORT,Export
TITLE,Purchase Order
ADD_TITLE,Add New Purchase Order
EDIT_TITLE,Edit Purchase Order
LBL_MAIN,Main
LBL_PO_PRODUCT_COLOR,Color
LBL_PONO,PO Number
LBL_OFFICE,Office
LBL_CUSTOMER,Customer
LBL_DEPARTMENT,Department
LBL_BRAND,Brand
LBL_CUSTOMER_REFERENCE_PO,Reference No
LBL_INTERNAL_REMARKS,Remarks
LBL_CUSTOMER_REMARKS,Customer Remarks
LBL_PRODUCT,Product
LBL_PRODUCTDESCRIPTION,Product Description
LBL_DESTINATION_COUNTRY,Destination Country
LBL_ETD,ETD
LBL_SUPPLIER,Supplier
LBL_FACTORY,Factory
LBL_FACTORY_REFERENCE,Factory Reference
LBL_QA_RESPONSIBLE,Inspection Responsible
LBL_ATTACHMENT,Attachment
LBL_QUANTITY,Quantity
LBL_UPLOAD_DOC,Upload MS chart / photos
TAB_HEADER,Purchase Order Details
LBL_ADD,Add Purchase Order
LBL_ADD_PO_DETAIL,Add
LBL_SAVE,Save
LBL_STATUS,Status
SAVE_RESULT,Save result
PROCESS_RESULT_DATE_FORMAT,Date format should be in (dd/mm/yyyy)
SAVE_OK,Purchase Order is saved succefully!
MSG_CANNOT_ADDPURCHASEORDER,Cannot Add Purchase Order
MSG_CURRENTPO_NOTFOUND,Cannot find current Purchase Order
MSG_UNKNONW_ERROR,Unknow error has occured
PO_ATTACHMENT,PO Attachement
MSG_PO_EXISTS,Purchase Order Already Exists
MSG_CSV_ERROR,System will allow only CSV file format
MSG_CONNECT_IT_TEAM,Please Contact IT- Team
MSG_DUPLICATE_PRODUCT_EXISTS,Duplicate Product exists for same supplier
LBL_CONFIRMDELETION,Confirm deletion
MSG_CONFRMDELETE,Are you sure  you want to remove product ?
MSG_CANNOT_DELETE,Error: Cannot remove product
MSG_DUPLICATE_PRODUCTS,Duplicate Products not allowed in the purchase order
LBL_REQUESTEDDELIVERYDATE,Req. Delivery Date
LBL_REQUESTEDDELIVERYDATE_PLH,Delivery Date
LBL_ETA,ETA
LBL_CONFIRMTITLE,Are you sure ?
MSG_REMOVE_CONFIRM_TITLE,"you are about to Remove all Data, Are you sure ?"
MSG_CONFIRM_TITLE_FOR_ETD,you are about to update All the ETD with {0} while some of them is already selected!!.
MSG_CONFIRM_TITLE_FOR_DESTINATION_COUNTRY,you are about to update All the Destination Country with {0} while some of them is already selected!!.
MSG_CONFIRM_TITLE_REQUESTED_DELIVERY_DATE,you are about to update All the Requested Delivery Date with {0} while some of them is already selected!!.
MSG_CONFIRM_TITLE_FOR_ETA,you are about to update All the ETA with {0} while some of them is already selected!!.
TITLE,Upload Purchase Order
MSG_FILEUPLOAD_REQ,Please upload the file
MSG_PO_SELECT,Please select atleast one PO
LBL_PO_NEW_PRODUCTS,New Products
LBL_PO_EXISTING_PRODUCTS,PO list with existing products
PROCESS_FILE,Process File
LBL_WARNING,Warning
LBL_NO_PO_WARNING,No new products or po available
MSG_PRODUCT_REQUIRED,Please select the product
MSG_PRODUCT_DATA_REQUIRED,Product cannot be empty
MSG_PRODUCT_DESC_REQUIRED,Product Description cannot be empty
PURCHASE_ORDER_ATTACHMENT,Purchase Order Attachment
LBL_PONUMBER,PO Number
LBL_PRODUCT,Product Id
LBL_ERROR_DESC,Error Description
LBL_DUPLICATE_ERROR,Duplicate Error
LBL_TOTAL_RECORDS,Total Records:
LBL_TOTAL_UPLOAD_RECORDS,Total Upload Records:
LBL_TOTAL_NON_UPLOAD_RECORDS,Total Non Upload Records:
LBL_TOTAL_PO,Total PO:
LBL_UPLOADED, Uploaded
LBL_NOT_UPLOADED,Not Uploaded
LBL_CREATE_ONLY_PRODUCT,Create only products
LBL_ADD_NEW_PO,Add as new PO
LBL_UPDATE_EXISTING_PO,Update existing PO only
LBL_BOTH,Both
LBL_MSG_REQUIRED_FILE,Please select all required fields
LBL_NEXT,Next
LBL_PREVIEW,Preview
LBL_PREVIOUS,Previous
LBL_NO_NEW_PRODUCT,No new products available
LBL_ADD_PROD,Add Products
LBL_UPDATE_PROD,Update Products
LBL_ADD_AND_UPDATE,Add and Update Products
LBL_SAVE,Save
MSG_REQ_UNIQUE_COLUMN,Please select Unique Column
MSG_REQ_UPLOAD_FILE,Please upload file
LBL_INFO_MSG,What do you want to do with the records in the file?
LBL_MAP_IMPORT_FIELD,Map import fields
LBL_DATE_FORMAT,Date format
LBL_WARN_DATE_FORMAT,Please select date formate for {0}
LBL_MAP,Mapping
LBL_FILE_UPLOAD,File upload
LBL_NO_NEW_PRO_MSG,No new product saved because duplicate products found
LBL_PRODUCT_SAVE_SUCCESS,New Products are saved successfully
MSG_HEADER_CONTAIN_COMMA,Unable to process file because header contains comma
FILE_UPLOAD,File Uploaded
TITLE,Inspection Booking
MSG_SPLIT_BOOKING_DELETE_REPORT1,You are about to split the products
MSG_SERVICE_FROMDATE_INVALID,Service From Date is Invalid
MSG_SERVICE_TODATE_INVALID,Service To Date is Invalid
MSG_SHIPMENT_DATE_INVALID,Shipment Date is Invalid
MSG_TF_RECEIVED_DATE_INVALID,Shipment Date is Invalid
MSG_AS_RECEIVED_DATE_INVALID,Shipment Date is Invalid
MSG_ETD_DATE_INVALID,ETD Date is Invalid
MSG_CUS_PRD_CATEGORY_REQ,Customer Product Category is required
LBL_COLOR,Color
LBL_CONFIRM_PO_PRODUCT_MULT_COLORS,Confirm Multiple Po Products?
LBL_CONFIRM_PO_PRODUCT_MULT_COLORS_MSG,"The selected po product combination configured with multiple colors.Do you want to add all the combinations,here?"
MSG_SPLIT_BOOKING_DELETE_REPORT2,"but the QC has already filled the report. If you split these products, the report data will be lost, and you will need to fill the report again"
LBL_ADD_NEW_PO_TITLE,Add New Po
LBL_ADD_NEW_PO_CHECK,Are you sure you want to add the new po
LBL_SERVICE_TYPE_VALIDATION,"If the report has been validated by QC, the service type cannot be changed"
LBL_DOWNLOAD_ALL_ATTACH,Download All
EDIT_TITLE,Inspection No : 
EDIT_CONTAINER,Container
EDIT_CONTAINER_LIMIT,Container Count
VIEW_PRODUCT_TITLE,Product Images 
LBL_PRODUCT_NAME,Product Name
LBL_PRODUCT_DESC,Product Description
LBL_PRODUCT_IMAGE,Product Image
LBL_PRODUCT_SERIAL,Serial No
LBL_PHOTO,PHOTO
NEWBOOKING,New Booking
ORDERTRACKING,Order Tracking
LBL_COLLECTION,Collection
LBL_PRICE_CATEGORY,Price Category
LBL_ISECOPACK,Ecopack
LBL_ISDISPLAY,Display Master
LBL_DISPLAY_CHILD,Display Child
LBL_FB_TEMPLATE,Report Template
LBL_SELECT,Select
LBL_MAIN_DETAILS,Inspection Reference Details
LBL_CUS,Customer
MSG_CUS_REQ,Customer is required
LBL_CUS_CONTACT,Customer Contact
MSG_CUS_CONTACT_REQ,Customer contact required
LBL_CUS_BRAND,Brand
MSG_CUS_BRAND_REQ,Brand is required
LBL_CUS_MERCHANDISER,Merchandiser
MSG_CUS_MERCHANDISER_REQ,Merchandiser is required
MSG_NOTIFICATIONFAIL,"Saved successfully, Email notification Unsuccessful"
LBL_CUS_DEPARTMENT,Department
MSG_CUS_DEPARTMENT_REQ,Department is required
LBL_PO,Internal Reference PO
MSG_PO_REQ,Internal Reference PO is required
LBL_CUS_SERVICETYPE,Service Type
MSG_CUS_SERVICETYPE_REQ,Service type is required
MSG_CUS_INSPECTION_RESPONSIBLE_REQ,Inspection responsible is required
MSG_CUS_INSPECTION_COMPANY_REQ,Inspection company is required 
MSG_CUS_PRODUCTCATEGORY_REQ,Product Category is required
MSG_CUS_PRODUCTCATEGORY_SUB2_REQ,Product Name is required
LBL_OFFICE,Office
LBL_OFFICE_ADDRESS,Office Address
LBL_CONTACT_INFO,Contact Details
LBL_BOOKING_RULE,Booking Rule
MSG_OFFICE_REQ,Office is required
LBL_SERVICE_FROMDATE,Service From Date
MSG_SAVE_SUCCESS,Your booking has been successfully placed
MSG_SERVICE_FROMDATE_REQ,From date is required
MSG_SERVICE_FROMDATE_GREATER_REQ,From date should be greater than to date
MSG_SERVICE_FROMDATE_GREATER_REQ_OR_INVALID,From date and To Date should be valid and From Date should be greater than to date
LBL_Service_TODATE,Service To Date
LBL_Service_FIRST_FROMDATE,First Service From Date
LBL_Service_FIRST_TODATE,First Service To Date
MSG_Service_TODATE_REQ,To date is required
MSG_Service_TODATE_LESS_REQ,To date should not be less than from date
MSG_Service_FROMDATE_FUTURE_REQ,From date should be in current or future.
MSG_Service_TODATE_FUTURE_REQ,To date should be in current or future.
MSG_CONTAINER_LIMIT_REQ,Container limit is required
LBL_SEASON,Season
LBL_BRAND,Brand
LBL_BUYER,Buyer
MSG_SEASON_REQ,Season is required
MSG_BUYER_REQ,Buyer is required
LBL_SEASON_YEAR,Season Year
MSG_SEASONYEAR_REQ,Season year is required
LBL_EVALUATION,Evaluation Round
MSG_EVALUATION_REQ,Evaluation round is required
LBL_SUP,Supplier
MSG_SUP_REQ,Supplier is required
LBL_SUP_CONTACT,Supplier Contact
MSG_SUP_CONTACT_REQ,Supplier contact is required
LBL_FACT,Factory
MSG_FACT_REQ,Factory is required
LBL_FACT_CONTACT,Factory Contact
MSG_FACT_CONTACT_REQ,factory contact is required
LBL_FACT_Location,Factory Location
LBL_FACT_ADDRESS,Factory Address
LBL_FACT_REGIONAL_ADDRESS,Factory regional Address
LBL_FACT_REGIONAL_PHONE,Phone Number
LBL_PRODUCT_CATEGORY,Product Category
MSG_PORDUCT_CATEGORY,product category is required
LBL_PROCESS_TYPE,Process Type
MSG_PROCESS_TYPE_REQ,Process Type is Required
LBL_PRODUCTION_STATUS,Production Status
MSG_PRODUCTION_STATUS:REQ,Production Status is required
LBL_FACTORY_CREATION_DATE,Factory Creation Date
MSG_FACTORY_CREATION_DATE_REQ,Factory creation date is required
LBL_NO_OF_CUSTOMER,Customer
MSG_NO_OF_CUSTOMER_REQ,Number of customer required
LBL_NO_OF_SUPPLIER,Suppliers
MSG_NO_OF_SUPPLIER_REQ,Number of suppliers required
LBL_ANNUAL_PRODUCTION,Annual production (tonnage)
MSG_ANNUAL_PRODUCTION_REQ,Annual production required
LBL_POTENTIAL_MAX_CAPACITY,Maximum capacity
MSG_POTENTIAL_MAX_CAPACITY_REQ,Maximum Capacity is required
LBL_SURFACE_AREA,Site surface area
MSG_SURFACE_ARE_REQUIRED,Surface area is required
LBL_CUS_CAPACITY,% Of Customer Of Total Capacity
MSG_CUS_CAPACITY_REQ,% of Customer capacity required
LBL_POSSIBILITY_EXTENSION,Possibility of extension
MSG_POSSIBILITY_EXTENSION_REQ,Possibility of extension required
LBL_PRODUCT_TYPE_MANUFACTURE,Manufacture product types
MSG_PRODUCT_TYPE_MANUFACTURE_REQ,manufacture product type are required
LBL_PRODUCE_BRANDS,Brands produced
MSG_PRODUCE_BRANDS,Brands produced are mandatory
LBL_NO_SITES,Number Of Sites
MSG_NO_OF_SITES_REQ,Number of sites are required
LBL_OPEN_HOUR,Open Hour
MSG_OPEN_HOUR_REQ,Open Hour is required
LBL_ANNUAL_HOLIDAY,Annual Holidays
MSG_ANNUAL_HOLIDAY,Annual Holidays is required
LBL_STAFF_PRODUCTION,Production Staff
MSG_STAFF_PRODUCTION_REQ,Production staff number is required
LBL_STAFF_ADMIN,Admin staff
MSG_STAFF_ADMIN_REQ,Administrative staff is required
LBL_STAFF_QUALITY,Quality staff
MSG_STAFF_QUALITY_REQ,Quality staff numbers is required
LBL_STAFF_SALE,Sales staff
MSG_STAFF_SALE_REQ,Sales staff numbers required
LBL_STAFF_TOTAL,Total staff
